Pesticides Name,Symptoms,Cronical Diseases
Cyfluthrin,"Skin irritation, respiratory distress, headache, nausea, vomiting, dizziness, and seizures at high exposure.",nervous system damage
Fipronil,"Nausea, vomiting, headache, dizziness, seizures, and eye and skin irritation.","Can affect liver, thyroid, and kidneys with long-term exposure; potential endocrine disruption."
Flubendiamide,"Skin and eye irritation, dizziness, and nausea.",chronic exposure may impact the liver
Fenpyroximate,"Skin and eye irritation, headache, dizziness, nausea, and potential respiratory distress.",may impact the liver and thyroid function.
Diazinon,"Headache, dizziness, weakness, nausea, vomiting, abdominal cramps, sweating, and muscle twitching.","neurotoxicity, organophosphate poisoning"
Clothianidin,"Dizziness, headache, nausea, and vomiting. High exposure can cause confusion, respiratory distress, and convulsions.",Potential neurotoxic effects and endocrine disruption.
Organophosphates,"Nausea, dizziness, sweating, muscle twitching, difficulty breathing, blurred vision, confusion, and convulsions.","Neurological effects, respiratory paralysis, and organophosphate poisoning."
Permethrin,"Skin and eye irritation, headache, dizziness, nausea, and respiratory issues.","Neurotoxicity with high or prolonged exposure, potential liver and thyroid effects."
Fenthion,"Nausea, vomiting, diarrhea, excessive sweating, muscle twitching, headache, and dizziness.",Inhibits acetylcholinesterase causing neurotoxicity
Fenpropathrin,"Eye and skin irritation, dizziness, nausea, vomiting, abdominal pain, and breathing difficulty.","respiratory distress, and liver effects."
Fenazaquin,"headache, dizziness, and mild respiratory distress.",Potential impacts on liver function with chronic exposure.
Cypermethrin,"dizziness, headache, nausea, muscle tremors, and seizures.","Neurotoxicity, allergic reactions, and potential liver damage."
Indoxacarb,"vomiting, dizziness, muscle twitching, and respiratory distress.",Potential neurotoxic effects
Hexythiazox,"Skin and eye irritation, nausea, headache, and dizziness.",may affect liver function
Fungicide,"respiratory issues, headache, nausea, and dizziness.","Potential allergic reactions, neurotoxicity, liver damage, and endocrine disruption with long-term exposure."
Bordeaux mixture,"stomach pain, vomiting, and diarrhea.",liver and kidney damage.
arsenicals,"Nausea, vomiting, abdominal pain, diarrhea, and muscle cramping.","can cause cancer, neurological damage, and cardiovascular diseases"
Phorate,"vomiting, sweating, muscle twitching, difficulty breathing, and convulsions.",Organophosphate poisoning affecting the nervous system
Mancozeb,"headaches, nausea, and dizziness.",may cause thyroid dysfunction and potentially cancer
Methyl Parathion,"Sweating, nausea, vomiting, muscle weakness, difficulty breathing, and confusion.",Neurotoxicity due to acetylcholinesterase inhibition
Cypermethrin,"muscle tremors, and seizures.",Neurotoxicity and liver effects with chronic exposure.
Carbendazim,"skin rashes, nausea, and dizziness.","reproductive toxicity, liver damage, and endocrine disruption."
Monocrotophos,"vomiting, difficulty breathing, muscle twitching, and confusion.","Neurotoxicity leading to organophosphate poisoning, respiratory failure, and possibly death."
Quinalphos,"sweating, dizziness, difficulty breathing, and convulsions.",Organophosphate poisoning affecting the nervous system.
Triazophos,"dizziness, sweating, muscle twitching, and difficulty breathing.",Neurotoxicity due to acetylcholinesterase inhibition.
Dichlorvos,"abdominal pain, difficulty breathing, and seizures.","Organophosphate poisoning, chronic exposure can cause neurological damage."
Fenvalerate,"Skin irritation, nausea, dizziness, headache, and respiratory issues.",Neurotoxicity with long-term exposure.
"2,4 D","Eye and skin irritation, nausea, vomiting, muscle weakness, and dizziness.",cancer and kidney or liver damage with chronic exposure.
Captan,"nausea, diarrhea, and difficulty breathing.","carcinogen, possible reproductive toxicity."
Zineb,"Skin and eye irritation, headaches, nausea, and dizziness.",thyroid dysfunction and potential carcinogenic effects.
Paraquat dichloride,"vomiting, abdominal pain, and difficulty breathing.
","Severe lung damage (pulmonary fibrosis), kidney failure, and potential death from ingestion"
Phosalone,"Nausea, sweating, dizziness, difficulty breathing, and seizures.","Neurotoxicity with acetylcholinesterase inhibition, organophosphate poisoning."
Imazapic,"Eye and skin irritation, nausea, and mild respiratory issues.",liver damage.
Imazamox,"Mild eye and skin irritation, headache, and dizziness.",potential liver effects
Carfentrazone,"Skin irritation, eye irritation, dizziness, and nausea.",Liver toxicity with prolonged exposure
Diflufenzopyr,"Eye irritation, skin rashes, headaches, and nausea.",possible liver impacts.
Dimethenamide-P,"dizziness, nausea, and mild respiratory issues.",Chronic exposure may affect liver function
Diflubenzuron,"Skin irritation, nausea, headache, and dizziness.",Possible liver and thyroid effects with long-term exposure.
Hexaflumuron,"Mild skin and eye irritation, dizziness, and nausea.",effects on the liver and thyroid.
Pymetrozine,"Mild eye and skin irritation, headaches, and nausea.",chronic toxicity.
Tebufenozide,"Skin and eye irritation, headaches, dizziness, and nausea.",liver damage
Pyriproxyfen,"headaches, and nausea.",liver toxicity.
Azoxystrobin,"Skin irritation, eye irritation, headaches, and respiratory issues.",liver and kidney damage
Cyprodinil,"Eye and skin irritation, dizziness, and nausea.",liver toxicity with chronic exposure.
Fludioxonil,"skin irritation, headaches, and nausea.",Liver damage
Metalaxyl-M,"Skin and eye irritation, nausea, and dizziness.",possible liver and kidney damage.
O-S Dimethyl acetylphosphoramidothioate,"Sweating, nausea, vomiting, difficulty breathing, and confusion.","Neurotoxicity due to inhibition of acetylcholinesterase, organophosphate poisoning."
Profenofos,"Sweating, dizziness, nausea, difficulty breathing, and muscle twitching.","Neurotoxicity, acetylcholinesterase inhibition, organophosphate poisoning."
Deltamethrin,"Skin and eye irritation, dizziness, headaches, nausea, and respiratory issues.",neurotoxicity and liver effects.
Quinolphos,"Nausea, dizziness, sweating, difficulty breathing, and muscle twitching.","Organophosphate poisoning, neurotoxicity, respiratory failure."
Carbofuron,"Nausea, vomiting, difficulty breathing, sweating, and seizures.","Neurotoxicity and organophosphate poisoning, potential respiratory failure."
Dicofol,"Skin and eye irritation, nausea, headaches, and dizziness.","Potential liver and kidney damage, thyroid dysfunction."
Thiodicarb,"Nausea, vomiting, muscle weakness, difficulty breathing, and confusion.",Carbamate poisoning leading to neurotoxicity.
Melathion,"Nausea, vomiting, diarrhea, sweating, muscle twitching, and confusion.","Organophosphate poisoning, neurotoxicity, respiratory failure."
Carbosulfan,"Nausea, dizziness, vomiting, muscle twitching, and difficulty breathing.","Neurotoxicity due to acetylcholinesterase inhibition, organophosphate poisoning."
Oxidematon methyle,"Nausea, vomiting, sweating, difficulty breathing, and convulsions.","Organophosphate poisoning, neurotoxicity."
Profenofos + Cypermethrin,"Nausea, dizziness, muscle weakness, respiratory distress, and headaches.","Combination may increase neurotoxicity, respiratory issues, and liver damage."
Diafenthiuron,"Skin and eye irritation, headaches, and nausea.",liver damage with chronic exposure.
Deltamethrin + Triazophos,"Severe nausea, dizziness, muscle tremors, difficulty breathing,",Carbamate poisoning leading to neurotoxicity.
Phorate,"Nausea, vomiting, sweating, muscle twitching, breathing difficulty, and convulsions.","Organophosphate poisoning affecting the nervous system, leading to respiratory paralysis and possible death."
Sulphur,"Skin and eye irritation, coughing, sore throat, and respiratory distress","can lead to dermatitis and respiratory issues, but severe toxicity is rare."
Fosetyl-AL,"Mild skin and eye irritation, dizziness, and headache",considered low toxicity
Azyoxystrobin,"Eye irritation, skin rashes, headache, nausea, and respiratory issues.",liver and kidney damage with chronic exposure
Aureofungin,"Skin irritation, nausea, dizziness, and headaches.",may impact liver and kidney function
Tricyclazole,"Skin irritation, eye irritation, nausea, and headaches.",effects on the liver with prolonged exposure
Carbendaziem,"Skin and eye irritation, nausea, dizziness, and headaches.","reproductive toxicity, liver damage, and endocrine disruption"
Traidimefon,"Skin and eye irritation, headaches, nausea, and dizziness",neurotoxic effects and liver damage
Benomyl,"Skin rashes, eye irritation, respiratory issues, and gastrointestinal distress.",reproductive toxicity and developmental effects; carcinogenicity is suspected.
COC,"gastrointestinal distress if ingested, and respiratory irritation.",may lead to liver and kidney damage.
Tridemorph,"Eye irritation, skin rashes, dizziness, and nausea.",liver toxicity and endocrine disruption
Hexaconozole,"dizziness, headache, and respiratory issues.",liver toxicity with prolonged exposure
Ziram,"Skin and eye irritation, nausea, dizziness, and respiratory distress.","neurotoxicity, liver damage, and carcinogenic effects with long-term exposure."
Cymoxanil + Mancozeb,"Skin and eye irritation, headaches, and nausea.",liver toxicity and mild neurotoxic effects
Famoxadone +Cymoxanil,"Skin and eye irritation, dizziness, headache, and nausea.",liver and reproductive toxicity.
Tebuconazole,"Skin irritation, nausea, dizziness, and respiratory issues.",thyroid dysfunction and possible carcinogenic effects.
Indofil-Mancozeb,"nausea, vomiting, and difficulty breathing.","carcinogen, may cause kidney and liver damage."
Chlorthalonil,"Skin and eye irritation, headaches, nausea, and respiratory distress.",liver toxicity and reproductive effects.
Dinocap,"Skin and eye irritation, respiratory irritation, and gastrointestinal distress.",lead to liver and kidney damage.
Copper hydroxide,"Eye irritation, skin rashes, nausea, and dizziness.",liver and reproductive toxicity with chronic exposure.
Iprodione + Carbendazime,"Skin irritation, nausea, dizziness, and respiratory issues.","thyroid dysfunction, and suspected carcinogenicity."
Metalaxyl + Mancozeb,"headaches, nausea, and respiratory irritation.",reproductive toxicity and liver effects.
Iprodione,"dizziness, nausea, and headaches.",endocrine disruption and liver toxicity.
Fenarimol,"Allergic reactions, rash, dizziness, and gastrointestinal distress.",ototoxicity (hearing damage).
Streptomycin sulphate,"Skin irritation, dizziness, headache, nausea, and eye irritation.",liver and kidney damage.
Oxyfluorfen,"Skin irritation, headaches, nausea, dizziness, and eye irritation.",liver toxicity and endocrine disruption.
Propiconozole,"Skin and eye irritation, headaches, nausea, and dizziness.",liver toxicity and reproductive effects.
Thiophenate-Methyl,"Skin irritation, eye irritation, headaches, and respiratory distress.",liver and reproductive toxicity.
Penconazole,"respiratory issues, coughing, and sore throat.",may cause dermatitis and respiratory problems
Wettable sulphur,mild allergic reactions,No known chronic diseases
Azospirillum,"Low toxicity, may cause mild skin and respiratory irritation in sensitive individuals.",No significant chronic effects known.
Azotobacter,possible mild irritation.,No documented diseases
verticillium lecani,may cause mild skin irritation,low toxicity
Organic based product,"Eye and skin irritation, gastrointestinal distress, headache, and nausea.",carcinogenic effects (controversial)
Glyphosate,"Skin irritation, dizziness, headache, nausea, and respiratory irritation.",liver toxicity with chronic exposure.
Pendimethalin,mild allergic reactions,No significant health risks
"Amino acids, Vit B1, B2, B6 & Folic acid",mild skin or eye irritation.,No significant chronic effects known.
Bt var Kurstaki,"sickness, eye and skin irritation, ","food poisoning, eye infection , periodontal disease."
Humic acid 6%,"Gastrointestinal Distress, stomach cramps if ingested in large amounts,  Coughing or difficulty breathing if inhaled.","joint disease, circulatory disease, and thyroid disease."
Metarhizium,"difficulty breathing , eye irritation ","Keratomycosis, Sinusitis,  Skin lesions"
Acephate 75% S.P,"Headache, dizziness, nausea, vomiting, abdominal cramps, blurred vision, muscle twitching.","Central nervous system toxicity, respiratory distress"
Alphamethr in 10 % E.C.,"Skin and eye irritation, headache, nausea, dizziness, vomiting.","Neurotoxic effects such as tremors and convulsions, allergic reactions"
Buprofezin 25% SC,"Mild skin irritation, eye irritation, gastrointestinal disturbances",Long-term exposure can affect liver function
Bifenthrin 10% E.C.,"Irritation to the skin, eyes, respiratory system, nausea, headache, dizziness","Neurotoxicity, paresthesia (tingling sensation), allergic reactions"
Cartap Hydrochlori de 4% G.R.,"Nausea, vomiting, diarrhea, muscle weakness, excessive salivation.","Respiratory failure in severe cases, neurotoxic effects"
Chlorpyriph os 20% E.C.,"Dizziness, headache, weakness, nausea, vomiting, diarrhea, blurred vision.",Respiratory failure
Cypermethr in 25% E.C.,"Skin irritation, eye irritation, nausea, vomiting, abdominal pain, dizziness, headache.","Neurotoxicity, allergic reactions, paresthesia, respiratory distress."
Carbendazi m 12% + Mancozeb 63 % W.P.,"Skin and eye irritation, gastrointestinal disturbances, dizziness.","Endocrine disruption, potential carcinogenic effects"
Hexaconazo le 5% E.C.,"Mild eye and skin irritation, headache, nausea.",Liver damage with prolonged exposure
Hexaconazo le 5% S.C.,"Mild eye and skin irritation, headache, nausea.",Liver damage with prolonged exposure
Imidachlopr ide 17.8% S.L.,"Nausea, dizziness, skin irritation, respiratory problems.","Central nervous system toxicity, potential reproductive effects"
Imidaclopri d 30.5 % S.C.,"Nausea, dizziness, skin irritation, respiratory problems.","Central nervous system toxicity, potential reproductive effects"
Lambda Cyhalothrin 5% E.C.,"Skin tingling, irritation, dizziness, nausea, vomiting.","Neurotoxic effects, paresthesia, possible effects on liver and kidneys."
Metsulfuro n methyl 20% W.P.,"Irritation to the eyes and skin, headache, nausea.",liver and kidney malfunction
Paraquate Dichloride 24% S.L.,"Nausea, vomiting, abdominal pain, diarrhea, skin irritation, difficulty breathing.","Severe respiratory failure, pulmonary fibrosis, kidney and liver damage,"
Piroxofop- Propanyl (Clodinafop- Propargyl) 15% W.P.,"Eye and skin irritation, nausea, vomiting.",Neurotoxicity
Pretilachlor 50% E.C.,"Eye and skin irritation, nausea, dizziness.",May cause liver toxicity with prolonged exposure.
Sulphur 80% WDG,"Skin and eye irritation, respiratory issues with inhalation.","Respiratory irritation, possible skin sensitization over time."
Sulfosulfuro n75% W.G.,"Mild skin irritation, nausea, dizziness.",liver and kidney malfunction.
Thiamethox am 25% W.G.,"Skin irritation, headache, nausea, vomiting, dizziness.","Central nervous system effects, developmental toxicity."
Validamycin 3% L,Mild skin and eye irritation.,"No significant long-term health risks reported, relatively low toxicity."
Chlorpyrop hos 50% + Cypermethr in 5% E.C.,"Nausea, vomiting, dizziness, skin irritation.","Neurotoxicity, cholinesterase inhibition, respiratory distress."
Quinalphos 25% E.C,"Headache, nausea, dizziness, abdominal cramps, blurred vision, sweating.","Cholinesterase inhibition, possible respiratory distress."
Ethion 50% EC,"Headache, nausea, dizziness, vomiting, abdominal pain.","Neurotoxicity, cholinesterase inhibition, severe respiratory effects in high doses"
Diafenthiur on 50% WP,"Eye and skin irritation, dizziness, nausea, vomiting.","Long-term exposure can affect liver and kidneys, neurotoxic effects in severe cases."
Emamectin Benzoate 5% SG,"Nausea, vomiting, headache, dizziness, skin and eye irritation.","Neurotoxicity, tremors, possible liver damage with prolonged exposure."
"Triacontano l EW 0.1%
 Min",Mild skin and eye irritation.,Relatively low toxicity; no major long-term health effects reported.
Propiconazo le 25% EC,"Skin and eye irritation, nausea, dizziness.","Endocrine disruption, liver toxicity, potential carcinogenic effects."
2.4 – D Amine Salt 58% SL,"Skin and eye irritation, respiratory issues, coughing, chest tightness, nausea, vomiting.","neurotoxicity, potential carcinogenicity, and endocrine disruption."
"2.4 – D Ethyl Ester 38% EC
 (Having 2.4- D, Acid
 34% W/w)","Skin and eye irritation, respiratory issues, coughing, chest tightness, nausea, vomiting.","neurotoxicity, potential carcinogenicity, and endocrine disruption."
Fipronil 0.3% GR,"Nausea, dizziness, vomiting, abdominal pain, skin and eye irritation.","Neurotoxicity, thyroid dysfunction, potential liver and kidney damage."
Thiamethox am 30 % FS,"Nausea, vomiting, abdominal pain, dizziness.","Neurotoxicity, developmental toxicity, reproductive effects."
Pseudomon as,"Mild irritation to skin, eyes, and respiratory tract.","Generally low toxicity to humans, but allergic reactions are possible."
Trichoderm a,"Mild irritation to skin, eyes, and respiratory tract.","Generally low toxicity to humans, but allergic reactions are possible."
Buveria Bassiana,"Mild irritation to skin, eyes, and respiratory tract.","Generally low toxicity to humans, but allergic reactions are possible."
Verticillium,"Mild irritation to skin, eyes, and respiratory tract.","Generally low toxicity to humans, but allergic reactions are possible."
"Neem Oil 0.5%
 300ppm","Mild skin and eye irritation, nausea, vomiting if ingested.","Relatively low toxicity, though high doses can cause central nervous system depression and seizures."
"Neem Oil 0.15%
 1500ppm","Mild skin and eye irritation, nausea, vomiting if ingested.","Relatively low toxicity, though high doses can cause central nervous system depression and seizures."
"Neem Oil 0.03%
 3000ppm","Mild skin and eye irritation, nausea, vomiting if ingested.","Relatively low toxicity, though high doses can cause central nervous system depression and seizures."
"Neem Oil 1%
 10000ppm","Mild skin and eye irritation, nausea, vomiting if ingested.","Relatively low toxicity, though high doses can cause central nervous system depression and seizures."
Gibberellic,Mild skin and eye irritation.,Low toxicity
Tricotonal,"Nausea, dizziness","Prolonged exposure might lead to headaches, dizziness, or other neurological effects."
"Emamectin
 Benzoate 1.9% EC
 Insecticide","Skin irritation, eye irritation, nausea, dizziness, and vomiting.",Respiratory Issues
"Emamectin Benzoate
 5% SG","Skin irritation, eye irritation, nausea, dizziness, and vomiting.",Respiratory Issues
PROPICON AZOLE25% E.C,"Skin irritation, eye irritation, headaches, dizziness, and gastrointestinal issues like nausea or diarrhea.",Liver Toxicity
"Acephate 25% +
 Fenvalerate 3% EC","Eye and skin irritation, dizziness, nausea, vomiting, and headaches.",Reproductive Harm
ACEPHATE 75% SP,"Skin and eye irritation, nausea, vomiting, abdominal cramps, and diarrhea.",Cholinesterase Inhibition
"Acephate 95% SG
 (w/w)","Skin and eye irritation, nausea, vomiting, abdominal cramps, and diarrhea.",Neurotoxicity:
ACETAMIPR ID 20 % SP,"Nausea, dizziness, headaches, skin irritation","Neurotoxicity, possible reproductive and developmental effects."
ATRAZINE 50% W.P.,"Skin and eye irritation, nausea, dizziness, respiratory problems.","Endocrine disruption, reproductive toxicity, potential carcinogenic effects."
"Azoxystrobi
 n 11% +
 Tebuconazo le 18.3%
 w/w SC","Eye and skin irritation, nausea, headache.","Liver and kidney damage with prolonged exposure, potential carcinogenicity."
"Bifenthrin 10 %EC
 w/w","Skin tingling, dizziness, nausea, vomiting.","Neurotoxicity, paresthesia, allergic reactions."
"Buprofenzin 15% +
 Acephate 35% WP for indigenous manufactur e","Nausea, vomiting, skin and eye irritation.","Neurotoxic effects, cholinesterase inhibition."
BUPROFEZI N 25 % SC,"Nausea, vomiting, skin and eye irritation.","Neurotoxic effects, cholinesterase inhibition."
"CAPTAN
 70%+ HEXACONA ZOLE 5 %
 WP","Skin and eye irritation, respiratory distress","Potential carcinogenicity, liver damage."
CARBENDAZ IM 12 %+ MANCOZEB 63 % WP,"Eye and skin irritation, nausea, dizziness.","Endocrine disruption, potential carcinogenic effects, reproductive toxicity."
Carbendazi m 46.27% SC,"Eye and skin irritation, nausea, dizziness.","Endocrine disruption, potential carcinogenic effects, reproductive toxicity."
CARTAP HYDROCHL ORIDE 4% GR,"Nausea, vomiting, muscle weakness, excessive salivation","Neurotoxicity, respiratory failure."
Chlorpyrifos 50 % E C,"Headache, nausea, vomiting, dizziness, muscle weakness, and confusion.",Cholinesterase Inhibition
CHLORPYRI PHOS 20% EC,"Headache, nausea, vomiting, dizziness, muscle weakness, and confusion.",Cholinesterase Inhibition
"CHLORPYRI PHOS 50 %
 + CYPERMETH RIN 5%EC","Headache, nausea, vomiting, dizziness, muscle weakness, and confusion.",Neurotoxicity
Difenoconaz ole 3% WS,"Eye and skin irritation, gastrointestinal distress, and headache.",Liver Toxicity
Dimethoate 30% EC,"Nausea, sweating, dizziness, blurred vision, and muscle twitching.","Cholinesterase Inhibition, Neurotoxicity"
Emamectin 1.9% EC,"Irritation to skin, eyes, and respiratory system.",Neurotoxicity
Emamectin Benzoate 5% S G,"Irritation to skin, eyes, and respiratory system.",Respiratory Issues
Ethion 50% E C,"Headache, dizziness, nausea, vomiting, and abdominal cramps.","Cholinesterase Inhibition, Reproductive Toxicity"
Fipronil 0.3% G.R.,"Skin irritation, eye irritation, headaches, nausea, and dizziness.","Neurotoxicity, Endocrine Disruption"
"Fipronil 40%+
 Imidaclopri d 40% WP","Skin irritation, eye irritation, headaches, nausea, and dizziness.","Neurotoxicity, Endocrine Disruption"
Fipronil 5% SC,"Skin irritation, eye irritation, headaches, nausea, and dizziness.","Neurotoxicity, Endocrine Disruption"
HEXACONA ZOLE 5 % EC,"Eye and skin irritation, headache, dizziness, nausea.",Liver Toxicity
HEXACONA ZOLE 5 % SC,"Eye and skin irritation, headache, dizziness, nausea.",Liver Toxicity
IMIDACHLO PRID 30.5% SC,"Irritation to the skin and eyes, dizziness, and nausea.","Neurotoxicity, Endocrine Disruption"
IMIDACLOP RID 70% WG,"Skin Irritation: Redness, itching, or rashes.",Neurotoxicity
ISOPROTHI OLANE 40% EC,"Skin and eye irritation, dizziness, nausea, and vomiting.","Liver Toxicity, Reproductive Toxicity"
"Lambda- cyhalothrin 4.9%
 Caspsule Suspension","Skin and eye irritation, headaches, dizziness, and nausea.",Neurotoxicity
MALATHIO N 50% EC,"Headache, dizziness, nausea, excessive salivation, and muscle weakness.",Cholinesterase Inhibition:
Mancozeb 75% WP,"Skin irritation, respiratory irritation, and eye irritation.",Thyroid Disruption
"METSULFUR ON
 METHYL 20% W.P","Skin irritation, eye irritation, and respiratory issues.",Liver and Kidney Damage
PARAQUAT E DICHLORIDE 24% SL,"Skin and eye irritation, gastrointestinal issues, and respiratory distress.",Fatal Poisoning
Pendimetha lin 30% EC,"Skin irritation, eye irritation, dizziness, and headaches.",Liver and Kidney Damage
PENDIMETH ALIN 38.7% CS,"Skin irritation, eye irritation, dizziness, and headaches.",Liver and Kidney Damage
"PIROXOFOP PROPINYL(C LODINAFOP PROPARGYL
 ) 15 % WP",`,Respiratory Issues
Pretilachlor 37% w/w EW,"Eye irritation, skin irritation, nausea, and dizziness.",Liver Toxicity
PRETILACHL OR 50 % EC,"Eye irritation, skin irritation, nausea, and dizziness.",Liver Toxicity
Profenofos 40%+Cyper methrin 4% E C,"Nausea, dizziness, skin and eye irritation, and vomiting.",Neurotoxicity
"Propiconazo
 le 13.9%
 w/w + Difenoconaz ole 13.9% w/w EC","Eye and skin irritation, dizziness, nausea, headache.","Liver Damage, Endocrine Disruption"
Pyriproxyfe n 10% EC,"Skin irritation, eye irritation, headaches, dizziness.",Reproductive Toxicity
SULFOSULF URON 75 % WG,"Eye and skin irritation, sore throat, coughing if inhaled.",Liver and Kidney Damage
Tebuconazo le 2% DS,"Skin irritation, eye irritation, nausea, dizziness, and headaches.",Liver Toxicity
Tebuconazo le 25.9% EC,"Skin irritation, eye irritation, nausea, dizziness, and headaches.",Liver Toxicity
"THIAMETH OXAM 25
 % WG","Skin irritation, headaches, dizziness, and nausea.",Reproductive Harm
Thiamethox am 30% FS,"Skin irritation, headaches, dizziness, and nausea.",Reproductive Harm
"Thiamethox am 70% W
 S","Skin irritation, headaches, dizziness, and nausea.",Reproductive Harm
THIOPHANA TE METHYL 70% WP,"Eye and skin irritation, nausea, headaches.","Eye and skin irritation, nausea, headaches."
TRICYCLAZO LE 75 % WP,"Eye irritation, skin irritation, respiratory distress.",Long-term exposure may lead to kidney and liver damage.
"Carbendazim 12% +
 Mancozeb 63% WP","Skin and eye irritation, nausea, vomiting, respiratory issues.",Prolonged exposure may affect liver function and is suspected to be carcinogenic.
Clodinafop Propargyl 15% WP,"Skin and eye irritation, headache, dizziness.",Neurotoxicity and reproductive issues in chronic exposure.
Cartap Hydrochlorid e 4% GR,"Nausea, vomiting, abdominal pain, respiratory distress.","Neurotoxicity and long-term organ damage (liver, kidneys)."
Atrazine 50% WP,"Skin irritation, eye irritation, respiratory distress, nausea, vomiting.","Endocrine disruption, potential carcinogen, reproductive toxicity."
"Azoxystrobin 11% +
 Tebuconazol e 18.3% w/w SC","Eye irritation, skin irritation, respiratory irritation.","Liver and kidney damage, possible carcinogenic effects."
Buprofezin 25 % SC,"Skin and eye irritation, dizziness, nausea",Potential liver toxicity with prolonged exposure.
"Captan 70%
 +
 Hexaconazol e 5% WP","Skin irritation, eye irritation, respiratory issues.","Carcinogenic potential, long-term organ damage (liver, kidneys)."
"Emamecin Benzoate 1.9
 % EC","Nausea, vomiting, skin and eye irritation, respiratory issues.",Potential effects on reproductive health; long-term studies on humans are limited.
Hexaconazol e 5 % SC.,"Skin and eye irritation, dizziness, headaches.",Liver toxicity with chronic exposure.
Hexaconazol e 75% WG,"Skin and eye irritation, dizziness, headaches.",Liver toxicity with chronic exposure.
Thiamethoxa m 30% FS,"Nausea, vomiting, skin and eye irritation, respiratory issues.","Neurotoxicity, possible reproductive toxicity"
Thiamethoxa m 75% w/w SG,"Nausea, vomiting, skin and eye irritation, respiratory issues.","Neurotoxicity, possible reproductive toxicity"
Thiamethoxa m 75% w/w SGvvvv,"Nausea, vomiting, skin and eye irritation, respiratory issues.","Neurotoxicity, possible reproductive toxicity"
Thiamethoxa m 25% WG,"Nausea, vomiting, skin and eye irritation, respiratory issues.","Neurotoxicity, possible reproductive toxicity"
Gibberellic Acid 0.001% L,"Minimal toxicity; however, may cause mild irritation if inhaled or contacted.",Generally considered safe but may cause minor allergic reactions.
Gibberellic Acid 0.186% S.P,"Minimal toxicity; however, may cause mild irritation if inhaled or contacted.",Generally considered safe but may cause minor allergic reactions.
Pretilachlor- 37% EW,"Skin and eye irritation, headache, dizziness.","Liver damage, possible carcinogenic effects."
CARBENDAZ IM 12 % + MACOZEB 63% WP,"Nausea, vomiting, abdominal pain, respiratory distress, muscle twitching.",Potential adverse effects on reproductive health
